Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.218826,0.080626,2.138199,20.421075,16.178215,-5.338864,20.722475,16.604221,-2.580476,0.319397,0.283268,0.294774,0.319397
2,1.847683,0.045416,1.802267,16.026630,12.451077,-0.006292,15.956180,12.430023,0.408784,0.389888,0.368047,0.408961,0.389888
3,1.697876,0.037564,1.660312,14.427907,11.197289,0.772218,15.978033,12.635125,1.839443,0.462324,0.453544,0.480071,0.462324
4,1.619376,0.033370,1.586006,14.854739,11.586746,-0.560932,14.363594,11.023478,-0.675509,0.480311,0.467234,0.499308,0.480311
5,1.492569,0.027935,1.464635,14.611412,11.318799,3.509519,16.622633,12.673854,5.497882,0.538162,0.526741,0.567350,0.538162
6,1.372025,0.024972,1.347053,11.833907,9.014631,-0.564090,12.501422,9.556335,-0.304408,0.592611,0.581840,0.594323,0.592611
7,1.293518,0.021859,1.271659,12.526941,9.508425,-1.035777,12.722393,9.927827,-3.128039,0.618376,0.604531,0.645859,0.618376
8,1.226068,0.020945,1.205124,10.656775,8.104247,1.125737,10.964545,8.427433,0.675389,0.645114,0.635123,0.652765,0.645114
9,1.164872,0.019393,1.145479,10.419787,7.759660,1.415694,11.048776,8.245957,1.910915,0.672825,0.663539,0.699756,0.672825
10,1.101849,0.017645,1.084204,8.972762,6.837934,-0.285495,9.694149,7.414514,1.358363,0.697618,0.688562,0.710976,0.697618
11,1.114610,0.017146,1.097464,10.069293,7.899408,-1.651335,10.188652,7.849346,-1.116232,0.719981,0.717094,0.731506,0.719981
12,1.069659,0.016853,1.052806,9.294203,7.316002,1.114959,9.622257,7.543467,1.288303,0.733106,0.726337,0.756154,0.733106
13,1.015278,0.015241,1.000037,8.585397,6.467182,-0.152354,9.459507,7.134645,-1.017689,0.766164,0.764346,0.769586,0.766164
14,0.989253,0.014817,0.974436,8.824563,6.810927,-1.780974,9.826068,7.671093,-2.020317,0.769081,0.762183,0.780402,0.769081
15,1.001591,0.015303,0.986288,9.046993,6.966220,-3.086059,8.984493,7.056343,-3.164113,0.750608,0.743793,0.761251,0.750608
16,0.915987,0.013426,0.902561,8.421214,6.360885,0.750395,8.721965,6.715168,0.881180,0.783179,0.783435,0.787580,0.783179
17,0.896919,0.013751,0.883169,8.059284,6.189820,1.498001,8.564391,6.610550,1.802123,0.801653,0.800155,0.803660,0.801653
18,0.833975,0.011837,0.822137,9.543540,7.409530,-0.419370,9.695017,7.490500,-1.477008,0.791930,0.787691,0.804868,0.791930
19,0.846165,0.013118,0.833047,9.378985,7.114792,1.169015,9.491890,7.315402,0.833979,0.816723,0.814532,0.820962,0.816723
20,0.813165,0.012534,0.800631,7.671761,5.941277,-0.942652,7.745218,6.088473,-0.799446,0.828391,0.830043,0.835051,0.828391
21,0.805778,0.012413,0.793365,7.976804,6.139521,2.678391,8.489215,6.520977,2.602268,0.830335,0.832082,0.840347,0.830335
22,0.766395,0.010844,0.755551,8.309012,6.235187,-0.133395,8.528518,6.344952,0.748124,0.819640,0.816099,0.828592,0.819640
23,0.743580,0.010896,0.732685,7.523337,5.764969,1.796943,7.767901,6.005927,-0.228642,0.864852,0.864805,0.866035,0.864852
24,0.714972,0.009548,0.705424,8.415304,6.684636,-2.693318,8.679977,6.870278,-2.892298,0.831308,0.825742,0.847759,0.831308
25,0.707329,0.009731,0.697598,7.714579,6.004509,-0.932752,7.818432,6.096653,-0.000794,0.856587,0.855016,0.862005,0.856587
26,0.672987,0.010254,0.662732,7.059372,5.466612,-1.472975,7.451538,5.751715,-1.028668,0.849781,0.846755,0.854031,0.849781
27,0.667308,0.009670,0.657638,8.641712,6.752723,-1.744957,8.890726,6.933663,-3.269310,0.858046,0.856466,0.868277,0.858046
28,0.675742,0.009584,0.666158,7.653353,5.626534,-1.347729,7.624445,5.881263,-2.372823,0.862907,0.858585,0.875737,0.862907
29,0.638500,0.009604,0.628896,7.201737,5.476378,0.329671,7.334006,5.580782,0.175096,0.865338,0.864563,0.871137,0.865338
30,0.604258,0.008394,0.595864,7.772562,6.072825,-2.227167,7.734238,5.988772,-2.625073,0.887214,0.887058,0.889676,0.887214
31,0.606237,0.009206,0.597030,6.902310,5.176664,-0.085606,7.000637,5.416417,-1.601642,0.885270,0.884704,0.887558,0.885270
32,0.602686,0.008413,0.594273,8.160874,6.261458,-2.135603,8.167645,6.343311,-2.897301,0.899854,0.899622,0.903468,0.899854
33,0.588265,0.008600,0.579665,7.905058,5.980476,0.102111,8.345736,6.382097,0.150768,0.888187,0.887949,0.890594,0.888187
34,0.595296,0.007981,0.587315,7.069736,5.384350,0.931195,7.339393,5.523411,0.095470,0.885270,0.885505,0.896970,0.885270
35,0.550725,0.008319,0.542406,6.437356,4.933491,-0.901860,6.734658,5.197256,-1.124761,0.904716,0.905185,0.907200,0.904716
36,0.515076,0.007917,0.507159,7.496795,5.813570,-2.297477,7.572073,5.855906,-1.952442,0.892562,0.892399,0.895380,0.892562
37,0.580937,0.007702,0.573235,7.571914,5.782514,-1.924894,7.456645,5.745400,-1.729540,0.922217,0.922200,0.924412,0.922217
38,0.519186,0.007717,0.511469,7.298464,5.629093,-2.088929,7.929704,6.160550,-2.492290,0.905202,0.905711,0.909590,0.905202
39,0.520359,0.007675,0.512684,7.057204,5.283969,-1.132946,7.406105,5.652779,-1.570994,0.897910,0.899091,0.903092,0.897910
40,0.476472,0.006591,0.469881,6.545343,4.868451,0.724364,6.710155,5.137050,0.042403,0.911522,0.911590,0.915312,0.911522
41,0.501107,0.007894,0.493212,6.194947,4.741551,-0.852176,6.488746,4.928774,-0.761935,0.906174,0.905500,0.908320,0.906174
