Epoch,Total_Loss,Reg_Loss,Cls_Loss,RMSE_SM0,MAE_SM0,ME_SM0,RMSE_SM20,MAE_SM20,ME_SM20,Accuracy,F1_Score,Precision,Recall
1,2.190003,0.063263,2.126741,19.962281,15.656088,1.780950,20.107198,15.556532,3.977929,0.286825,0.273032,0.284173,0.286825
2,1.905684,0.042149,1.863535,18.246314,14.618065,-4.159449,17.528784,14.246284,-3.575360,0.363150,0.351996,0.401587,0.363150
3,1.778426,0.036042,1.742384,15.193020,11.719433,1.187364,16.303563,12.538434,4.356509,0.404473,0.372773,0.426217,0.404473
4,1.664157,0.031435,1.632722,14.990974,11.755326,0.627955,14.441396,11.335485,1.626460,0.471561,0.459588,0.490810,0.471561
5,1.556837,0.028031,1.528806,14.194275,11.339420,-3.765668,13.412881,10.609136,-2.244183,0.524550,0.509733,0.530642,0.524550
6,1.459621,0.025688,1.433933,13.237837,10.226947,1.075662,12.193199,9.545394,1.121845,0.533301,0.526211,0.538422,0.533301
7,1.413628,0.024486,1.389141,12.215011,9.416972,0.964820,11.785208,9.015274,1.255075,0.569276,0.563221,0.582123,0.569276
8,1.329449,0.019764,1.309685,12.028217,9.398397,1.117340,12.501307,9.752626,2.814468,0.578999,0.559548,0.589502,0.578999
9,1.292157,0.020124,1.272033,11.938473,9.104762,3.010305,12.306085,9.355903,3.331247,0.618862,0.609764,0.640940,0.618862
10,1.198109,0.017200,1.180909,10.697294,8.295655,2.320851,11.371707,8.812830,0.694983,0.643170,0.626158,0.678542,0.643170
11,1.174209,0.018256,1.155953,12.015568,9.410635,0.268166,11.851432,9.096018,0.565628,0.655323,0.651928,0.661160,0.655323
12,1.155496,0.018027,1.137468,10.912343,8.660683,0.121355,11.361489,8.954141,-1.474002,0.703452,0.701129,0.707398,0.703452
13,1.118416,0.017217,1.101199,11.119670,8.669929,1.409280,10.964912,8.423979,1.829300,0.697618,0.681571,0.721836,0.697618
14,1.027318,0.013979,1.013338,10.271393,7.777855,3.124954,10.465799,7.787733,2.824393,0.752066,0.748694,0.754493,0.752066
